build_up_area,avg._price,floor,age_of_property,furnishing,bhk,address,project_name,price,bathrooms,balcony,link,facing_east_facing,facing_north_facing,facing_north_east_facing,facing_north_west_facing,facing_south_facing,facing_south_east_facing,facing_south_west_facing,facing_west_facing,new_carpet,open_parking,covered_parking,possession_status,sector,coordinates,latitude,longitude
1190,8320.0,2,0,0,3,"signature global city 81 phase 2, sector 81, gurgaon",Signature Global City 81 Phase 2,9900000.0,3.0,3,"https://housing.com//in/buy/resale/page/12017139-3-bhk-apartment-in-sector-81-for-rs-9900000
",1,0,0,0,0,0,0,0,944.7998691571274,0,3,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1360,7350.0,9,5,1,2,"bestech park view ananda, sector 81, gurgaon",Bestech Park View Ananda,10000000.0,2.0,2,"https://housing.com//in/buy/resale/page/12602978-2-bhk-apartment-in-sector-81-for-rs-10000000
",1,0,0,0,0,0,0,0,1200.0,0,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1190,8400.0,7,0,1,3,"signature global city 81 phase 2, sector 81, gurgaon",Signature Global City 81 Phase 2,10000000.0,3.0,2,"https://housing.com//in/buy/resale/page/12549023-3-bhk-apartment-in-sector-81-for-rs-10000000
",0,0,0,1,0,0,0,0,937.0543578146002,1,1,3,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1780,5620.0,8,7,1,3,"vipul lavanya apartment sector 81, sector 81, gurgaon",Vipul Lavanya apartment sector 81,10000000.0,3.0,3,"https://housing.com//in/buy/resale/page/12735566-3-bhk-apartment-in-sector-81-for-rs-10000000
",1,0,0,0,0,0,0,0,1404.0,1,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1205,8300.0,3,0,0,3,"signature global city 81 phase 2, sector 81, gurgaon",Signature Global City 81 Phase 2,10000000.0,3.0,3,"https://housing.com//in/buy/resale/page/12017161-3-bhk-apartment-in-sector-81-for-rs-10000000
",1,0,0,0,0,0,0,0,956.7091112053264,0,3,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1205,8300.0,3,1,2,3,"signature global city 81, sector 81, gurgaon",Signature Global City 81,10000000.0,3.0,3,"https://housing.com//in/buy/resale/page/12587273-3-bhk-apartment-in-sector-81-for-rs-10000000
",1,0,0,0,0,0,0,0,1150.0,0,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1360,7350.0,7,5,1,2,"bestech park view ananda, sector 81, gurgaon",Bestech Park View Ananda,10000000.0,2.0,2,"https://housing.com//in/buy/resale/page/12584806-2-bhk-apartment-in-sector-81-for-rs-10000000
",0,1,0,0,0,0,0,0,1042.9775782827526,0,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1360,7350.0,7,6,1,2,"bestech park view ananda, sector 81, gurgaon",Bestech Park View Ananda,10000000.0,2.0,2,"https://housing.com//in/buy/resale/page/12673349-2-bhk-apartment-in-sector-81-for-rs-10000000
",0,0,0,0,0,0,0,0,1140.0,0,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1095,9220.0,1,0,1,3,"signature global city 81, sector 81, gurgaon",Signature Global City 81,10100000.0,2.0,3,"https://housing.com//in/buy/resale/page/12624056-3-bhk-apartment-in-sector-81-for-rs-10100000
",1,0,0,0,0,0,0,0,653.0,0,1,1,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1260,8020.0,1,0,0,3,"signature global city 81, sector 81, gurgaon",Signature Global City 81,10100000.0,3.0,3,"https://housing.com//in/buy/resale/page/12582398-3-bhk-apartment-in-sector-81-for-rs-10000000
",0,0,1,0,0,0,0,0,1095.0,0,1,1,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1282,8189.999999999999,12,12,1,3,"bestech park view ananda, sector 81, gurgaon",Bestech Park View Ananda,10500000.0,3.0,1,"https://housing.com//in/buy/resale/page/11949255-3-bhk-apartment-in-sector-81-for-rs-10500000
",0,0,0,0,0,0,0,0,1009.4988964019474,1,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1205,9130.0,8,0,0,3,"signature global city 81 phase 2, sector 81, gurgaon",Signature Global City 81 Phase 2,11000000.0,3.0,2,"https://housing.com//in/buy/resale/page/12549065-3-bhk-apartment-in-sector-81-for-rs-11000000
",0,0,0,1,0,0,0,0,956.7091112053264,1,1,3,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1360,8090.0,13,5,1,2,"bestech park view ananda, sector 81, gurgaon",Bestech Park View Ananda,11000000.0,2.0,2,"https://housing.com//in/buy/resale/page/12650567-2-bhk-apartment-in-sector-81-for-rs-11000000
",0,0,0,0,0,0,0,0,1042.9775782827526,0,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1095,10040.0,3,1,1,3,"signature global city 81 phase 2, sector 81, gurgaon",Signature Global City 81 Phase 2,11000000.0,3.0,2,"https://housing.com//in/buy/resale/page/12420881-3-bhk-apartment-in-sector-81-for-rs-11000000
",0,1,0,0,0,0,0,0,862.247497316796,1,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1645,6990.0,3,8,1,3,"bestech park view ananda, sector 81, gurgaon",Bestech Park View Ananda,11500000.0,3.0,2,"https://housing.com//in/buy/resale/page/12429319-3-bhk-apartment-in-sector-81-for-rs-11500000
",0,0,0,0,0,0,0,0,1295.3398475672411,2,2,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1205,9540.0,3,0,0,3,"signature global city , sector 81, gurgaon",Signature Global City ,11500000.0,3.0,0,"https://housing.com//in/buy/resale/page/12736087-3-bhk-apartment-in-sector-81-for-rs-11500000
",0,0,0,0,0,0,0,0,956.7091112053264,0,0,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1183,9780.0,3,0,1,3,"signature global synera, sector 81, gurgaon",Signature Global Synera,11568250.0,2.0,2,"https://housing.com//in/buy/resale/page/12460768-3-bhk-apartment-in-sector-81-for-rs-11568250
",0,0,0,0,0,0,0,0,1109.0,1,1,5,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1660,7110.0,2,6,1,3,"bestech park view ananda, sector 81, gurgaon",Bestech Park View Ananda,11800000.0,2.0,3,"https://housing.com//in/buy/resale/page/12395346-3-bhk-apartment-in-sector-81-for-rs-11800000
",0,1,0,0,0,0,0,0,1307.1514571195264,0,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1645,7290.0,7,2,1,3,"bestech park view ananda, sector 81, gurgaon",Bestech Park View Ananda,12000000.0,3.0,3,"https://housing.com//in/buy/resale/page/9063930-3-bhk-apartment-in-sector-81-for-rs-12000001
",0,1,0,0,0,0,0,0,1500.0,0,2,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1660,7230.0,7,5,1,3,"bestech park view ananda, sector 81, gurgaon",Bestech Park View Ananda,12000000.0,3.0,3,"https://housing.com//in/buy/resale/page/11966223-3-bhk-apartment-in-sector-81-for-rs-11000000
",0,0,1,0,0,0,0,0,1307.1514571195264,0,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
2225,5480.0,2,7,1,4,"vipul lavanya, sector 81, gurgaon",Vipul Lavanya,12200000.0,4.0,4,"https://housing.com//in/buy/resale/page/12675077-4-bhk-apartment-in-sector-81-for-rs-12200000
",0,0,0,0,0,0,0,0,1706.0,1,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1660,7530.0,9,5,0,3,"bestech park view ananda, sector 81, gurgaon",Bestech Park View Ananda,12500000.0,3.0,3,"https://housing.com//in/buy/resale/page/12726551-3-bhk-apartment-in-sector-81-for-rs-12500000
",1,0,0,0,0,0,0,0,1317.9561200006988,1,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1660,7830.0,7,3,1,3,"bestech park view ananda, sector 81, gurgaon",Bestech Park View Ananda,13000000.0,3.0,3,"https://housing.com//in/buy/resale/page/4322683-3-bhk-apartment-in-sector-81-for-rs-8900000-v2
",1,0,0,0,0,0,0,0,1307.1514571195264,0,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
