build_up_area,avg._price,floor,age_of_property,furnishing,bhk,link,possession_status,sector,parking,latitude,longitude
350,5.71,3,0,0,1,"https://housing.com//in/buy/resale/page/12515319-1-bhk-apartment-in-sector-62-for-rs-2000000
",0,62,0,28.4139,77.0886
340,5.88,7,0,1,1,"https://housing.com//in/buy/resale/page/12451520-1-bhk-apartment-in-sector-35-for-rs-2000000
",0,35,0,28.4155,77.0022
424,4.72,6,0,1,1,"https://housing.com//in/buy/resale/page/8942872-1-bhk-apartment-in-sector-35,-sohna-for-rs-2000000
",0,35,1,28.4155,77.0022
700,2.86,1,2,0,1,"https://housing.com//in/buy/resale/page/8537462-1-bhk-apartment-in-sector-107-for-rs-2000000
",0,107,1,28.5052,76.9729
525,3.81,4,2,0,1,"https://housing.com//in/buy/resale/page/12368830-1-bhk-apartment-in-sector-33,-sohna-for-rs-2000000
",0,33,1,28.442,77.0207
350,5.71,3,4,2,1,"https://housing.com//in/buy/resale/page/4074581-1-bhk-apartment-in-sector-108-for-rs-2000000-v2
",0,108,1,28.5134,76.983
280,7.14,6,5,2,1,"https://housing.com//in/buy/resale/page/12723370-1-rk-apartment-in-sector-60-for-rs-2000000
",0,60,1,28.4003,77.0975
200,10.0,2,0,0,1,"https://housing.com//in/buy/resale/page/12467806-1-rk-apartment-in-sector-42-for-rs-2000000
",1,42,2,28.4576,77.102
424,4.93,6,1,0,1,"https://housing.com//in/buy/resale/page/12637585-1-bhk-apartment-in-sector-35,-sohna-for-rs-2090000
",0,35,1,28.4155,77.0022
534,3.93,2,2,1,2,"https://housing.com//in/buy/resale/page/12548880-2-bhk-apartment-in-sector-5-for-rs-2100000
",0,5,1,28.4794,77.0176
404,5.2,3,1,0,1,"https://housing.com//in/buy/resale/page/11228324-1-bhk-apartment-in-sector-102-for-rs-2100000
",0,102,2,28.475,76.9715
402,5.22,7,4,1,1,"https://housing.com//in/buy/resale/page/12019966-1-bhk-apartment-in-sector-102-for-rs-2100000
",0,102,1,28.475,76.9715
450,4.67,2,0,0,1,"https://housing.com//in/buy/resale/page/12107848-1-bhk-apartment-in-sector-3a-for-rs-2100000
",0,3a,0,28.481,77.0068
442,4.75,6,1,1,1,"https://housing.com//in/buy/resale/page/10477127-1-bhk-apartment-in-sector-33-for-rs-2100000-v2
",0,33,2,28.442,77.0207
350,6.0,1,4,1,1,"https://housing.com//in/buy/resale/page/7238174-1-bhk-apartment-in-sector-107-for-rs-2100000
",0,107,1,28.5052,76.9729
1485,1.41,1,1,2,1,"https://housing.com//in/buy/resale/page/9276229-1-bhk-apartment-in-sector-110-for-rs-2100000
",0,110,1,28.5145,77.0197
424,4.95,6,0,1,1,"https://housing.com//in/buy/resale/page/8942433-1-bhk-apartment-in-sector-35,-sohna-for-rs-2100000
",0,35,0,28.4155,77.0022
400,5.25,2,3,1,1,"https://housing.com//in/buy/resale/page/10732319-1-bhk-apartment-in-sector-107-for-rs-1900000
",0,107,1,28.5052,76.9729
198,10.61,2,4,2,1,"https://housing.com//in/buy/resale/page/11127958-1-rk-apartment-in-sector-72-for-rs-2100000
",0,72,1,28.4225,77.0211
525,4.0,4,2,1,1,"https://housing.com//in/buy/resale/page/12368870-1-bhk-apartment-in-sector-33,-sohna-for-rs-2100000
",0,33,1,28.442,77.0207
363,5.87,3,1,0,1,"https://housing.com//in/buy/resale/page/12021823-1-bhk-apartment-in-sector-102-for-rs-2131000
",0,102,2,28.475,76.9715
612,3.51,12,10,2,2,"https://housing.com//in/buy/resale/page/11104609-2-bhk-apartment-in-sector-35,-sohna-for-rs-2150000
",0,35,1,28.4155,77.0022
500,4.4,2,3,1,1,"https://housing.com//in/buy/resale/page/11685360-1-bhk-apartment-in-sector-102-for-rs-2200000
",0,102,2,28.475,76.9715
650,3.38,12,0,1,2,"https://housing.com//in/buy/resale/page/12072688-2-bhk-apartment-in-sector-5-for-rs-2200000
",0,5,0,28.4794,77.0176
600,3.75,1,10,2,1,"https://housing.com//in/buy/resale/page/11835462-1-bhk-apartment-in-sector-105-for-rs-2250000
",0,105,1,28.4952,77.0114
710,3.17,6,3,0,2,"https://housing.com//in/buy/resale/page/12573066-2-bhk-apartment-in-sector-5-for-rs-2250000
",0,5,4,28.4794,77.0176
405,5.55,3,3,2,1,"https://housing.com//in/buy/resale/page/11812026-1-bhk-apartment-in-sector-95-for-rs-2250000
",0,95,1,28.4172,76.9081
